at,gate,outcome,runtime,environment,evidence,output_sha256
2026-09-21T22:13:19Z,gate-version,red-capable,0.1.0,python 3.14.2 on Darwin arm64,plants gate-version: gate-version control: 3 of 3 planted defect(s) named; baseline green,6db4a4d255683cec6dc95eeb43e41a3a7e4f9abadd7b9e869a736e5e1fdbf745
2026-09-21T22:13:19Z,gate-claims,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_claims.py: 37 test(s),a1fe995a121a118da3c5de8c62ffe2317c7f97f7a6d3d77faf5a7a1c08b6a61c
2026-09-21T22:13:19Z,gate-spec,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_spec.py: 65 test(s),c97909f5d8a9f17575601c43b39f520c5396881483081cf882197eff647168fa
2026-09-21T22:13:19Z,gate-spec-mirror,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_spec_bundle.py: 31 test(s),5469eabc855ee44da8ed8c0f0c9d3932b4c6e7c0b709ff15f4e2bfa896a76b19
2026-09-21T22:13:19Z,gate-countermand,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_countermand.py: 39 test(s),8bec1ee0ae581239376f93e853896f25930687b697f42461e9e775c4c197163e
2026-09-21T22:13:19Z,gate-copy,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_copy_vocabulary.py: 24 test(s),d2a3dd9a4a387ab4e384546d161a8f269a8f01ac2d98cbb50b353479e01046cd
2026-09-21T22:13:19Z,gate-governance,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_governance.py: 20 test(s),8a4108a315e403198fa68cd24316f02516f43077930039eee8dd1414d509d0ca
2026-09-21T22:13:19Z,gate-calibration,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_calibration.py: 29 test(s),7dced5d7bbdd62ef0adc3022a2798fef67ad30c5731f3244db6f521cd23acd68
2026-09-21T22:13:19Z,gate-isolation,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_no_corpus_literals.py: 13 test(s),aef0da4aa9f250ddfbc4b15cb1b9425bd25251d63be86a624d0cc8ac3c5558db
2026-09-21T22:13:19Z,gate-manifest,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_manifest.py: 8 test(s),63012a527d5345c9592ded45b77e81c37b7591209e0bee601d9159b92162d302
2026-09-21T22:13:19Z,gate-contract,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_contract_gate.py: 4 test(s),7948dcdfe5c337a6461c01d94bbabff58f026dd9444d596c4ff35cdc14e87b48
2026-09-21T22:13:19Z,gate-imports,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_imports_gate.py: 8 test(s),0da4186617add49d579a26e69ae04b9d534bca199c5221d2346bf5693cc3e083
2026-09-21T22:13:19Z,gate-shadow,red-capable,0.1.0,python 3.14.2 on Darwin arm64,tests/test_no_stdlib_shadow.py: 6 test(s),f270f7250fd21725abacb687de7c5eee81b22bd7da4857bcbbcdec8887a55e3d
2026-09-21T22:13:19Z,gate-sandbox,red-capable,0.1.0,python 3.14.2 on Darwin arm64,"script tools/negative_controls/sandbox_control.sh: sandbox-control: 6 of 6 mutant(s) RED-CAPABLE, each red naming the planted defect | tests/test_sandbox.py: 39 test(s)",6be6b18fb733f49f3b95a2b38f0cfea680e19eb440c4729782ca5022a97d8e4e
2026-09-21T22:13:19Z,gate-reviewer,red-capable,0.1.0,python 3.14.2 on Darwin arm64,plants gate-reviewer: gate-reviewer control: 3 of 3 planted defect(s) named; baseline green,b4238514813d08d1236305149493a61f358bad0fcf914ff1f276698dc51e77a7
